"longitude","latitude","housingMedianAge","population","households","medianIncome","AveBedrms","AveRooms","AveOccupancy","logMedVal"
-122.23,37.88,41,322,126,8.3252,1.02380952380952,6.98412698412698,2.55555555555556,13.0227640121816
-122.22,37.86,21,2401,1138,8.3014,0.971880492091388,6.23813708260105,2.10984182776801,12.7896839390218
-122.24,37.85,52,496,177,7.2574,1.07344632768362,8.28813559322034,2.80225988700565,12.7716705051431
-122.25,37.85,52,558,219,5.6431,1.07305936073059,5.81735159817352,2.54794520547945,12.7405171348948
-122.25,37.85,52,565,259,3.8462,1.08108108108108,6.28185328185328,2.18146718146718,12.7431506404402
-122.25,37.85,52,413,193,4.0368,1.10362694300518,4.76165803108808,2.13989637305699,12.5050655091278
-122.25,37.84,52,1094,514,3.6591,0.95136186770428,4.93190661478599,2.1284046692607,12.6088675250825
-122.25,37.84,52,1157,647,3.12,1.06182380216383,4.79752704791345,1.78825347758887,12.3942105876456
-122.26,37.84,42,1206,595,2.0804,1.11764705882353,4.29411764705882,2.02689075630252,12.3313828364956
-122.25,37.84,52,1551,714,3.6912,0.990196078431373,4.97058823529412,2.17226890756303,12.4726587546872
-122.26,37.85,52,910,402,3.2031,1.07960199004975,5.47761194029851,2.2636815920398,12.5478877265619
-122.26,37.85,52,1504,734,3.2705,1.02452316076294,4.7724795640327,2.04904632152589,12.3958662171628
-122.26,37.85,52,1098,468,3.075,1.01282051282051,5.32264957264957,2.34615384615385,12.2713921116508
-122.26,37.84,52,345,174,2.6736,1.09770114942529,4,1.98275862068966,12.1615981554283
-122.26,37.85,52,1212,620,1.9167,1.00967741935484,4.26290322580645,1.95483870967742,11.9779165523924
-122.26,37.85,50,697,264,2.125,1.0719696969697,4.24242424242424,2.64015151515152,11.8493977015914
-122.27,37.85,52,793,331,2.775,1.04833836858006,5.93957703927492,2.39577039274924,11.9349198750296
-122.27,37.85,52,648,303,2.1202,0.966996699669967,4.05280528052805,2.13861386138614,11.9544010106014
-122.26,37.84,50,990,419,1.9911,1.08591885441527,5.3436754176611,2.36276849642005,11.9747709065145
-122.27,37.84,52,690,275,2.6033,1.08363636363636,5.46545454545455,2.50909090909091,12.0008917945901
-122.27,37.85,40,409,166,1.3578,1.10843373493976,4.52409638554217,2.46385542168675,11.901583454762
-122.27,37.85,42,929,366,1.7135,1.00273224043716,4.47814207650273,2.53825136612022,11.9816783123143
-122.27,37.84,52,1015,478,1.725,1.13179916317992,5.09623430962343,2.1234309623431,11.6430761494353
-122.27,37.84,52,853,325,2.1806,1.03692307692308,5.19384615384615,2.62461538461538,11.5099209559499
-122.27,37.84,52,1006,422,2.6,1.03554502369668,5.27014218009479,2.38388625592417,11.7950923567339
-122.28,37.85,41,317,119,2.4038,1.03361344537815,4.49579831932773,2.66386554621849,11.5852461265499
-122.28,37.85,49,607,239,2.4597,1.02092050209205,4.72803347280335,2.5397489539749,11.4489201349943
-122.28,37.85,52,1102,397,1.808,1.06045340050378,4.7808564231738,2.77581863979849,11.5664662318983
-122.28,37.84,50,1131,473,1.6424,1.04016913319239,4.40169133192389,2.39112050739958,11.5981853089211
-122.28,37.84,52,395,155,1.6875,1.03225806451613,4.70322580645161,2.54838709677419,11.7905572015685
-122.28,37.84,49,863,378,1.9274,1.18253968253968,5.06878306878307,2.28306878306878,11.7142323216753
-122.28,37.84,52,1168,441,1.9615,1.09070294784581,4.88208616780045,2.64852607709751,11.6544250272439
-122.27,37.84,48,1026,335,1.7969,1.22089552238806,5.73731343283582,3.06268656716418,11.6118654128251
-122.27,37.83,49,754,329,1.375,1.11246200607903,5.03039513677812,2.29179331306991,11.5607627943844
-122.27,37.83,51,1258,536,2.7303,1.07089552238806,4.97201492537313,2.34701492537313,11.6055046462633
-122.27,37.83,49,570,264,1.4861,1.06818181818182,4.60227272727273,2.15909090909091,11.4845259904485
-122.27,37.83,48,987,374,1.0972,1.15508021390374,4.80748663101604,2.63903743315508,11.556942350387
-122.28,37.83,52,901,403,1.4103,0.967741935483871,3.74937965260546,2.23573200992556,11.5511841770873
-122.26,37.83,52,689,309,3.48,1.06796116504854,4.75728155339806,2.22977346278317,12.162120758001
-122.26,37.83,52,1377,696,2.5898,1.02729885057471,3.49425287356322,1.97844827586207,12.0782392740203
-122.26,37.83,52,946,395,2.0978,1.06075949367089,4.21518987341772,2.39493670886076,11.9537577169157
-122.26,37.83,51,517,249,1.2852,1.24899598393574,3.75903614457831,2.07630522088353,11.9183905730784
-122.26,37.84,49,462,189,1.025,1.06878306878307,3.77248677248677,2.44444444444444,11.6851966859107
-122.26,37.84,52,467,198,3.9643,1.02020202020202,4.7979797979798,2.35858585858586,12.1484435326935
-122.26,37.83,52,660,292,3.0125,1.06506849315068,4.94178082191781,2.26027397260274,12.1248625901046
-122.26,37.83,52,718,382,2.6768,1.09947643979058,4.33507853403141,1.87958115183246,12.1134089606668
-122.26,37.83,50,616,304,2.026,1.05921052631579,3.70065789473684,2.02631578947368,11.8670972786908
-122.27,37.82,43,558,253,1.7348,1.23320158102767,3.9802371541502,2.20553359683794,11.8313791960888
-122.26,37.82,40,423,160,0.9506,1.21875,3.9,2.64375,12.1415341243926
-122.27,37.82,40,700,352,1.775,1.06534090909091,2.6875,1.98863636363636,11.6307085006266
-122.27,37.82,21,735,438,0.9218,1.03424657534247,2.04566210045662,1.67808219178082,12.0546681913709
-122.27,37.82,43,1061,407,1.5045,1.12039312039312,4.58968058968059,2.60687960687961,11.4489201349943
-122.27,37.82,41,1959,720,1.1108,1.18472222222222,4.47361111111111,2.72083333333333,11.4876076569859
-122.27,37.82,52,1162,400,1.2475,1.14,4.075,2.905,11.5540674083014
-122.28,37.82,52,701,233,1.6098,1.00858369098712,5.02145922746781,3.00858369098712,11.3793940723457
-122.28,37.82,52,576,220,1.4113,1.10454545454545,4.29545454545455,2.61818181818182,11.3277999808435
-122.28,37.82,52,622,259,1.5057,1.11196911196911,4.77992277992278,2.4015444015444,11.3793940723457
-122.28,37.82,52,728,244,0.8172,1.37295081967213,6.10245901639344,2.98360655737705,11.3539297334798
-122.28,37.82,52,1074,304,1.2171,1.12171052631579,4.5625,3.53289473684211,11.2935248999349
-122.29,37.82,2,94,57,2.5625,0.754385964912281,2.7719298245614,1.64912280701754,11.0020998412042
-122.29,37.83,52,554,187,3.3929,1.1283422459893,5.99465240641711,2.96256684491979,11.2345334394255
-122.29,37.82,49,86,23,6.1183,1.26086956521739,5.8695652173913,3.73913043478261,11.2252433925184
-122.29,37.81,50,377,122,0.9011,1.55737704918033,6.22950819672131,3.09016393442623,11.3632646904158
-122.3,37.81,52,521,159,1.191,1.49056603773585,7.69811320754717,3.27672955974843,11.2398035438498
-122.3,37.81,48,392,133,2.5938,1.36842105263158,6.22556390977444,2.94736842105263,11.2050406852009
-122.3,37.81,52,604,187,1.1667,1.11764705882353,5.40106951871658,3.22994652406417,11.2695792063385
-122.3,37.81,48,788,332,0.8056,1.06626506024096,4.38253012048193,2.37349397590361,11.343322680584
-122.29,37.8,52,492,147,2.6094,1.65986394557823,6.98639455782313,3.3469387755102,11.3059012955359
-122.3,37.81,52,274,82,1.8516,1.32926829268293,6.97560975609756,3.34146341463415,11.3504065354725
-122.29,37.81,46,1823,611,0.9802,1.05400981996727,4.58428805237316,2.98363338788871,11.7691168703306
-122.29,37.81,26,392,127,1.7719,1.19685039370079,6.04724409448819,3.08661417322835,11.3205535723228
-122.29,37.81,46,582,277,0.7286,1.07220216606498,3.37545126353791,2.10108303249097,11.4637352207795
-122.29,37.81,49,560,152,1.75,1.34210526315789,5.55263157894737,3.68421052631579,11.2252433925184
-122.29,37.81,46,18,7,0.4999,0.571428571428571,1.71428571428571,2.57142857142857,11.1198828768606
-122.29,37.81,20,290,133,2.483,1.21052631578947,6.2781954887218,2.18045112781955,11.8313791960888
-122.28,37.81,17,762,439,0.9241,1.05239179954442,2.81776765375854,1.73576309794989,12.0867258878976
-122.28,37.81,36,1236,509,2.4464,1.1041257367387,5.72495088408644,2.42829076620825,11.5337080041528
-122.28,37.81,19,721,207,1.1111,1.17391304347826,5.83091787439614,3.48309178743961,11.5926604329891
-122.29,37.81,23,1054,325,0.8026,1.15076923076923,5.36923076923077,3.24307692307692,11.6307085006266
-122.28,37.8,38,344,155,2.0114,1.13548387096774,4.41290322580645,2.21935483870968,11.7852400602909
-122.28,37.81,17,609,289,1.5,1,3.19723183391003,2.10726643598616,11.9984332807519
-122.27,37.81,52,183,56,1.1667,1,3.75,3.26785714285714,11.6307085006266
-122.28,37.81,52,200,87,1.5208,1.11494252873563,3.90804597701149,2.29885057471264,11.6307085006266
-122.28,37.81,52,346,155,0.8075,1.05806451612903,2.49032258064516,2.23225806451613,11.8313791960888
-122.28,37.81,35,467,169,1.8088,1.0887573964497,5.6094674556213,2.76331360946746,11.6851966859107
-122.28,37.81,52,377,115,2.4083,1.24347826086957,6.72173913043478,3.27826086956522,11.4947614943426
-122.27,37.81,40,582,380,0.977,1.18684210526316,2.31578947368421,1.53157894736842,11.6851966859107
-122.27,37.81,10,546,330,0.76,1.05454545454545,2.65151515151515,1.65454545454545,11.9984332807519
-122.27,37.8,10,125,39,0.9722,1.07692307692308,2.69230769230769,3.20512820512821,11.8313791960888
-122.27,37.8,52,396,85,1.2434,0.917647058823529,2.92941176470588,4.65882352941177,13.1223653774023
-122.27,37.8,16,800,362,2.0938,1.0828729281768,2.74585635359116,2.20994475138122,11.9984332807519
-122.28,37.8,52,904,88,0.8668,0.988636363636364,2.44318181818182,10.2727272727273,11.8313791960888
-122.28,37.8,52,191,34,0.75,0.911764705882353,2.82352941176471,5.61764705882353,11.9984332807519
-122.27,37.79,27,718,302,2.6354,1.14900662251656,3.49337748344371,2.37748344370861,12.1415341243926
-122.27,37.8,39,1327,467,1.8477,1.33404710920771,3.67237687366167,2.84154175588865,12.096257779523
-122.26,37.8,36,3469,2323,2.0096,1.06629358588033,2.29401635815755,1.49332759362893,11.7752897294377
-122.26,37.82,31,2048,1180,2.8345,1.12796610169492,3.89491525423729,1.73559322033898,12.1216034889037
-122.26,37.81,29,202,91,2.0062,1.17582417582418,3.68131868131868,2.21978021978022,11.7360690162844
-122.26,37.82,22,2024,1250,1.2185,1.016,2.9456,1.6192,12.0435537160324
-122.26,37.82,37,1838,980,2.6104,1.10714285714286,3.70714285714286,1.87551020408163,12.1709634684166
-122.25,37.81,29,2304,1250,2.4912,1.1312,3.7248,1.8432,12.4599393694872
-122.25,37.81,28,2563,1497,3.2177,1.07080828323313,3.87842351369405,1.71209084836339,12.518691203272
