"purchase","nTab","moCbook","iRecMer1","propSpec","recW4","moShoe","nWoApp","nMen","llDol"
0,2,50,0.0659674064,0.68,50,50,2,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.6554694229,0,50,50,3,1,-2.302585093
0,2,50,0.0196078431,0,50,50,0,0,3.1393996234
0,0,50,0.035418412,0.68,50,50,1,0,-2.302585093
0,0,50,0.0196078431,0.5000294204,50,50,0,0,-2.302585093
0,1,22.174770039,0.0288410521,0,50,33.672798949,2,0,3.8299448944
0,3,50,0.0479038147,0,19.875164258,50,11,0,-2.302585093
0,0,50,0.0357092581,0.68,50,50,5,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0256349795,0.68,50,50,4,0,-2.302585093
0,0,50,0.0326805806,0.68,50,50,2,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,20,34.198423127,0.3930785124,0.1979144036,36.957950066,1.544021025,53,0,-2.302585093
0,2,50,0.0451337406,0.68,21.156373193,50,2,0,3.9136217268
0,0,50,0.5208761123,0,50,50,2,0,-2.302585093
0,3,50,0.4798234552,0,50,50,0,0,-2.302585093
0,1,50,0.1315243692,0,50,50,1,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
1,23,9.5269382392,0.4954427083,0,50,1.0183968463,68,2,5.564443776
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,3,50,0.1632696846,0,50,50,4,0,-2.302585093
0,0,50,0.1775548297,0,50,50,3,1,-2.302585093
0,4,31.800262812,0.0360049205,0.68,26.773981603,26.773981603,5,0,-2.302585093
0,9,50,0.0450002957,0.68,50,21.222076216,0,0,5.9399343826
0,5,21.419185283,0.6849684968,0.3314273955,50,0.5584756899,43,0,6.0136662551
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,11,8.0814717477,0.4954427083,0.297541659,1.0183968463,1.6425755585,27,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,3,10.151116951,0.0896771152,0,50,4.9277266754,3,0,-2.302585093
0,1,50,0.0662545708,0.68,50,50,6,0,-2.302585093
0,2,50,0.2446158791,0,50,50,6,0,-2.302585093
0,0,50,0.3092238927,1,50,50,2,0,-2.302585093
0,4,50,0.0495410455,0.68,19.185282523,36.498028909,5,0,4.0953440626
0,0,50,0.0196078431,0,50,50,0,1,-2.302585093
0,1,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0450002957,0.68,50,21.222076216,9,0,6.1159583485
0,1,50,0.0196078431,0,50,50,0,1,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,3,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0243434311,0.68,50,50,7,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,15,22.076215506,0.3930785124,0,50,1.544021025,33,0,4.1601323028
1,5,32.490144547,0.2198786478,0,32.490144547,50,13,0,3.6656108272
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0526242998,0.68,18.725361367,50,3,0,-2.302585093
0,0,50,0.0208430336,0.68,46.977660972,50,2,0,-2.302585093
