"purchase","nTab","moCbook","iRecMer1","llDol"
0,0,50,0.01960784,-2.302585
1,4,19.21813,0.04946055,3.893452
0,1,50,0.1191669,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,10,50,0.1059004,5.153465
0,0,50,0.0280957,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.3737721,-2.302585
0,0,50,0.01960784,-2.302585
0,1,43.10118,0.5591477,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.6156958,-2.302585
0,1,50,0.1565521,-2.302585
0,4,50,0.3982208,-2.302585
0,0,50,0.03179311,-2.302585
0,5,50,0.07039127,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.3092239,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.2591962,-2.302585
0,0,50,0.3189438,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.0583768,-2.302585
0,0,50,0.1775548,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.02639062,5.501299
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,4,32.523,0.03890394,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.02342548,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,1,50,0.0216587,-2.302585
0,0,50,0.04460465,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
1,2,50,0.3481244,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.02184522,-2.302585
0,0,50,0.01960784,-2.302585
0,10,50,0.034147,4.69199
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.1399926,-2.302585
0,5,50,0.1182411,-2.302585
0,2,50,0.01960784,-2.302585
0,0,50,0.04460465,-2.302585
0,2,50,0.3521518,-2.302585
0,0,50,0.01960784,-2.302585
0,24,15.96583,0.2942769,5.043748
0,0,50,0.01960784,-2.302585
0,5,4.434954,0.1839942,4.673109
0,2,50,0.01960784,-2.302585
0,2,50,0.01960784,5.26791
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.4447691,-2.302585
0,3,50,0.01960784,-2.302585
0,6,50,0.06654425,-2.302585
0,1,50,0.2781433,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.08761225,-2.302585
0,2,50,0.03285696,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.04730822,-2.302585
0,0,50,0.7718053,-2.302585
0,2,50,0.02587467,-2.302585
0,17,21.51774,0.3328959,4.318421
0,1,50,0.01960784,-2.302585
0,2,50,0.02401692,-2.302585
0,0,50,0.02652862,-2.302585
0,3,50,0.03497082,-2.302585
0,1,50,0.01960784,-2.302585
0,1,33.90276,0.02865103,-2.302585
0,3,50,0.05027748,3.740048
0,1,50,0.1549583,-2.302585
0,7,50,0.4651589,-2.302585
0,8,50,0.01960784,-2.302585
0,7,50,0.1983837,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.03292804,-2.302585
0,4,50,0.0484374,3.335414
0,0,50,0.01960784,-2.302585
0,0,50,0.02956947,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,9,9.034166,0.1070173,5.136328
0,1,50,0.3982208,-2.302585
0,2,50,0.01960784,-2.302585
0,0,50,0.0284369,-2.302585
0,5,50,0.04122204,-2.302585
0,1,50,0.07154945,-2.302585
0,0,50,0.03890394,-2.302585
0,0,50,0.09353491,-2.302585
0,0,50,0.1105141,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,13,50,0.3604927,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.05550288,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.04099995,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,3,44.31669,0.02504443,-2.302585
0,3,50,0.1775548,2.838493
0,0,50,0.03817215,-2.302585
0,2,50,0.03705688,-2.302585
0,2,50,0.01960784,-2.302585
0,5,50,0.02799235,4.787992
0,0,50,0.01960784,-2.302585
0,2,50,0.01960784,-2.302585
0,1,9.461235,0.2446159,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.04859204,3.370394
0,0,50,0.01960784,-2.302585
0,11,50,0.04906196,4.095843
0,0,50,0.5804729,-2.302585
0,0,50,0.01960784,-2.302585
0,10,33.40999,0.50364,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.03422378,-2.302585
0,0,50,0.04111069,-2.302585
0,0,50,0.6849685,-2.302585
0,6,50,0.6554694,4.205737
0,0,50,0.02436291,-2.302585
0,1,50,0.04278646,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.02521036,-2.302585
0,12,50,0.224749,2.646175
0,0,50,0.06540048,-2.302585
0,1,50,0.04954105,3.222469
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,6,50,0.883856,-2.302585
0,2,50,0.6156958,-2.302585
0,2,50,0.02448047,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,6,50,0.4202098,-2.302585
0,7,50,0.3737721,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.03880475,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.04040136,-2.302585
0,4,31.80026,0.03600492,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.02084303,-2.302585
0,0,50,0.04588207,-2.302585
0,4,50,0.04190298,5.545177
1,18,22.10907,0.4383641,2.207175
0,1,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,5,50,0.1775548,3.990464
0,0,50,0.01960784,-2.302585
